Name,Title,Type,Medium,Location,Accessibil,RequiredAr,Descriptio,ArtistLink
600 California,"'""Guardian""' by Bruce Beasley",Sculpture,bronze,top of the stairs of the California St. open space,open space and artwork are always accessible,"Yes, by Case No <a target='_blank' href='http://propertymap.sfplanning.org?search=1986.085X'>1986.085X</a>","The proposed project would develop the building by adding approximately 221,430 gross square feet to the office space, 11 stories, and 22,200 square feet to the parking garage.",http://en.wikipedia.org/wiki/Bruce_Beasley_(American_sculptor)
474 Natoma,"""Global Garden""",façade mural panel,"""Optical tiles"":  digital images on metal",elevator tower facing Natoma Street,artwork is always accessible,"Yes, by case No. <a target='_blank' href='http://propertymap.sfplanning.org?search=2007.1383X'>2007.1383X</a>","A 100% affordable, 60-unit residential project.",
343 Sansome,"'""Four Seasons""' by Joan Brown",obelisk,tile,roof garden,artwork and open space are accessible from 9-5,"Yes, by Case No <a target='_blank' href='http://propertymap.sfplanning.org?search=1985.079X'>1985.079X</a>","343 Sansome Street would concentrate both on the renovation of the existing 13- story office building, and the separation of one lot into two, 29- story office/ retail buildings with parking. The new building would be approximately 212 feet tall with app",http://en.wikipedia.org/wiki/Joan_Brown
125 Mason,'Untitled' by Mildred Howard,Facade,various,facade of building,artwork is always accessible,"Yes, by Case No <a target='_blank' href='http://propertymap.sfplanning.org?search=2006.0691X'>2006.0691X</a>","The proposed project would demolish the existing parking lots on the Project Site and construct a fourteen story, 81 unit affordable family housing building including approximately 556 gsf of office space and 2,111 gsf of lounge and community meeting spa",http://www.moellerfineart.com/artists/mildred-howard/
222 2nd Street,"""Riallaro,"" by Frank Stella",painting,pixel painting on canvas,building lobby,"artwork is accessible during normal business hours, when POPOS is open, 8-6.","Yes, by Case No. 2006.1106X","New 26-story, 350-foot tall building containing approximately 430,650 gross square feet of office space, approximately 5,000 square feet of ground floor retail space, approximately 28,000 square feet of subterranean parking area, and approximately 8,600",https://www.sfmoma.org/artist/Frank_Stella
100 1st St,"'""Linear Fountain""' by John Luebtow",water wall sculpture,"granite, glass",sun terrace,artwork is always accessible.,"Yes by Case No 1983.331. Although this project preceded the adoption of the Downtown Plan, this project's approvals were guided by the spitit of the pending plan, resulting in public art at this site.","The proposed project was to demolish 6, 40-year-old buildings, and erect a 27 story office building in its place. The new building would be 350 feet tall, and have 396,313 square feet of office space. In addition to the office space, there was planned to",http://www.luebtow.com/
560 Mission,"'""Annular Eclipse""' by George Rickey",Sculpture,aluminum,urban garden,open space and artwork are always accessible,"Yes, by Case No <a target='_blank' href='http://propertymap.sfplanning.org?search=1998.321X'>1998.321X</a>","The proposed project would demolish a 65,000 square foot building and parking lot to reconstruct an office building with 645,000 square feet for office space.",http://en.wikipedia.org/wiki/George_Rickey
49 Stevenson St,"'""Escalieta I""' by Manuel Neri",sculpture,ordinario marble,49 Stevenson entrance,open space and artwork is always accessible,Yes by Case No <a target='_blank' href='http://propertymap.sfplanning.org?search=1985.657'>985.657</a>,"The existing buildings (49, 53, and 55 Stevenson Street) would be demolished and replaced with a 15- story office building. 49 Stevenson would be 253 feet tall with about 169,600 gross square feet of office space. The ground and second floor of the new b",http://en.wikipedia.org/wiki/Manuel_Neri
1 Market,"'""Float""' by Mark Lere",Sculpture,"metal, bronze",landmark office building interior open space,artwork is available from 7:00 a.m. to 6:30 p.m.,"Yes, by Case No <a target='_blank' href='http://propertymap.sfplanning.org?search=1998.135X'>1998.135X</a>","The proposed project would add 51,822 square feet of office space to an existing office building. This addition would include seismically upgrading two, multi-story, light courts of the existing building.",http://www.marklere.com/
505-525 Howard,"""Boy III""",sculptures,cast bronze with white patina finish,building lobby,"Artwork is accessible during normal business hours, 8:00 a.m. to 7:00 p.m.; artwork is visible from Howard Street","Yes, by <a target='_blank' href='http://propertymap.sfplanning.org?search=2008.0001X'>2008.0001X</a>","In 2000 and 2001, the Planning Commission granted approvals for the Foundry Square project. The project included the development of four office buildings at each corner at the intersection of First and Howard Streets, with approximately 1,150,000 square",http://houseago.stormking.org/
